x,y,z,V,Ex,Ey,Ez,E_mag
-0.150000,-0.110000,0.070000,1.78462730e-01,-6.84051370e-01,-4.99441677e-01,3.48262598e-01,9.15781143e-01
-0.150000,-0.110000,0.080000,1.74856072e-01,-6.41621695e-01,-4.68696791e-01,3.71944715e-01,8.77324314e-01
-0.150000,-0.110000,0.090000,1.71045318e-01,-5.99045305e-01,-4.37803186e-01,3.89186941e-01,8.37850453e-01
-0.150000,-0.110000,0.100000,1.67091510e-01,-5.57190487e-01,-4.07393695e-01,4.00678085e-01,7.98106377e-01
-0.150000,-0.100000,-0.100000,4.27789478e-02,-1.49351374e-01,-9.91598112e-02,-1.07755562e-01,2.09164438e-01
-0.150000,-0.100000,-0.090000,4.38444323e-02,-1.61178493e-01,-1.06943640e-01,-1.05097515e-01,2.20138448e-01
-0.150000,-0.100000,-0.080000,4.48756419e-02,-1.73296776e-01,-1.14903959e-01,-1.00863006e-01,2.31101792e-01
-0.150000,-0.100000,-0.070000,4.58557156e-02,-1.85462744e-01,-1.22879407e-01,-9.48366520e-02,2.41846581e-01
-0.150000,-0.100000,-0.060000,4.67657999e-02,-1.97359342e-01,-1.30661868e-01,-8.68400451e-02,2.52119867e-01
-0.150000,-0.100000,-0.050000,4.75855701e-02,-2.08597819e-01,-1.37998325e-01,-7.67629739e-02,2.61627869e-01
-0.150000,-0.100000,-0.040000,4.82940864e-02,-2.18731460e-01,-1.44600229e-01,-6.45985751e-02,2.70047503e-01
-0.150000,-0.100000,-0.030000,4.88709976e-02,-2.27284551e-01,-1.50162343e-01,-5.04763261e-02,2.77046667e-01
-0.150000,-0.100000,-0.020000,4.92980270e-02,-2.33797014e-01,-1.54391110e-01,-3.46837165e-02,2.82312980e-01
-0.150000,-0.100000,-0.010000,4.95605749e-02,-2.37879998e-01,-1.57039506e-01,-1.76664321e-02,2.85587820e-01
-0.150000,-0.100000,0.000000,1.98596734e-01,-9.57087253e-01,-6.31767180e-01,-7.44737751e+04,7.44737752e+04
-0.150000,-0.100000,0.010000,1.98242299e-01,-9.51519992e-01,-6.28158026e-01,7.06657283e-02,1.14235128e+00
-0.150000,-0.100000,0.020000,1.97192108e-01,-9.35188056e-01,-6.17564439e-01,1.38734866e-01,1.12925192e+00
-0.150000,-0.100000,0.030000,1.95483990e-01,-9.09138203e-01,-6.00649373e-01,2.01905305e-01,1.10818667e+00
-0.150000,-0.100000,0.040000,1.93176345e-01,-8.74925840e-01,-5.78400918e-01,2.58394301e-01,1.08019001e+00
-0.150000,-0.100000,0.050000,1.90342280e-01,-8.34391277e-01,-5.51993299e-01,3.07051896e-01,1.04651148e+00
-0.150000,-0.100000,0.060000,1.87063200e-01,-7.89437369e-01,-5.22647474e-01,3.47360180e-01,1.00847947e+00
-0.150000,-0.100000,0.070000,1.83422862e-01,-7.41850977e-01,-4.91517628e-01,3.79346608e-01,9.67386324e-01
-0.150000,-0.100000,0.080000,1.79502568e-01,-6.93187104e-01,-4.59615835e-01,4.03452024e-01,9.24407168e-01
-0.150000,-0.100000,0.090000,1.75377729e-01,-6.44713973e-01,-4.27774558e-01,4.20390061e-01,8.80553793e-01
-0.150000,-0.100000,0.100000,1.71115791e-01,-5.97405495e-01,-3.96639245e-01,4.31022246e-01,8.36657751e-01
-0.150000,-0.090000,-0.100000,4.37517427e-02,-1.59478192e-01,-9.51727497e-02,-1.15430532e-01,2.18667222e-01
-0.150000,-0.090000,-0.090000,4.48954126e-02,-1.72747776e-01,-1.03000491e-01,-1.13040419e-01,2.30714177e-01
-0.150000,-0.090000,-0.080000,4.60068365e-02,-1.86440344e-01,-1.11056496e-01,-1.08936133e-01,2.42818097e-01
-0.150000,-0.090000,-0.070000,4.70675392e-02,-2.00286769e-01,-1.19179912e-01,-1.02854153e-01,2.54750109e-01
-0.150000,-0.090000,-0.060000,4.80565577e-02,-2.13925686e-01,-1.27157810e-01,-9.45660255e-02,2.66225545e-01
-0.150000,-0.090000,-0.050000,4.89509740e-02,-2.26902310e-01,-1.34725522e-01,-8.39161101e-02,2.76907093e-01
-0.150000,-0.090000,-0.040000,4.97268613e-02,-2.38681995e-01,-1.41575318e-01,-7.08660272e-02,2.86416933e-01
-0.150000,-0.090000,-0.030000,5.03606816e-02,-2.48683956e-01,-1.47376125e-01,-5.55385687e-02,2.94360263e-01
-0.150000,-0.090000,-0.020000,5.08310703e-02,-2.56336969e-01,-1.51804964e-01,-3.82491280e-02,3.00360425e-01
-0.150000,-0.090000,-0.010000,5.11208145e-02,-2.61151774e-01,-1.54586966e-01,-1.95104552e-02,3.04102017e-01
-0.150000,-0.090000,0.000000,2.04874784e-01,-1.05118415e+00,-6.22144990e-01,-7.68280440e+04,7.68280440e+04
-0.150000,-0.090000,0.010000,2.04483258e-01,-1.04460709e+00,-6.18347865e-01,7.80418207e-02,1.21640807e+00
-0.150000,-0.090000,0.020000,2.03324281e-01,-1.02534788e+00,-6.07219857e-01,1.52996512e-01,1.20144170e+00
-0.150000,-0.090000,0.030000,2.01442726e-01,-9.94735824e-01,-5.89504498e-01,2.22154275e-01,1.17744105e+00
-0.150000,-0.090000,0.040000,1.98907445e-01,-9.54727981e-01,-5.66301271e-01,2.83464109e-01,1.14566773e+00
-0.150000,-0.090000,0.050000,1.95803896e-01,-9.07609240e-01,-5.38902089e-01,3.35664441e-01,1.10762837e+00
-0.150000,-0.090000,0.060000,1.92226231e-01,-8.55702744e-01,-5.08631241e-01,3.78264102e-01,1.06490218e+00
-0.150000,-0.090000,0.070000,1.88270157e-01,-8.01147077e-01,-4.76719649e-01,4.11416611e-01,1.01900044e+00
-0.150000,-0.090000,0.080000,1.84027346e-01,-7.45761378e-01,-4.44225983e-01,4.35744533e-01,9.71272390e-01
-0.150000,-0.090000,0.090000,1.79581650e-01,-6.90991106e-01,-4.12001964e-01,4.52161675e-01,9.22856710e-01
-0.150000,-0.090000,0.100000,1.75006971e-01,-6.37912768e-01,-3.80690999e-01,4.61722128e-01,8.74668886e-01
-0.150000,-0.080000,-0.100000,4.46777105e-02,-1.69485173e-01,-8.97793306e-02,-1.23045801e-01,2.27872379e-01
-0.150000,-0.080000,-0.090000,4.58991914e-02,-1.84244832e-01,-9.74836128e-02,-1.20969070e-01,2.41003587e-01
-0.150000,-0.080000,-0.080000,4.70909332e-02,-1.99577678e-01,-1.05459097e-01,-1.17044661e-01,2.54268212e-01
-0.150000,-0.080000,-0.070000,4.82328709e-02,-2.15190578e-01,-1.13549349e-01,-1.10957131e-01,2.67417135e-01
-0.150000,-0.080000,-0.060000,4.93019105e-02,-2.30677477e-01,-1.21542028e-01,-1.02422513e-01,2.80133779e-01
-0.150000,-0.080000,-0.050000,5.02724567e-02,-2.45513988e-01,-1.29167650e-01,-9.12329311e-02,2.92035696e-01
-0.150000,-0.080000,-0.040000,5.11174416e-02,-2.59069785e-01,-1.36107235e-01,-7.73114011e-02,3.02686943e-01
-0.150000,-0.080000,-0.030000,5.18099207e-02,-2.70646856e-01,-1.42012281e-01,-6.07684816e-02,3.11624801e-01
-0.150000,-0.080000,-0.020000,5.23251842e-02,-2.79547478e-01,-1.46538374e-01,-4.19456928e-02,3.18401836e-01
-0.150000,-0.080000,-0.010000,5.26431567e-02,-2.85166345e-01,-1.49389385e-01,-2.14265969e-02,3.22639322e-01
-0.150000,-0.080000,0.000000,2.11002710e-01,-1.14835447e+00,-6.01454495e-01,-7.91260162e+04,7.91260162e+04
-0.150000,-0.080000,0.010000,2.10572627e-01,-1.14066538e+00,-5.97557542e-01,8.57063875e-02,1.29055729e+00
-0.150000,-0.080000,0.020000,2.09300737e-01,-1.11818991e+00,-5.86153498e-01,1.67782771e-01,1.27360734e+00
-0.150000,-0.080000,0.030000,2.07239683e-01,-1.08258742e+00,-5.68049126e-01,2.43073926e-01,1.24649921e+00
-0.150000,-0.080000,0.040000,2.04469767e-01,-1.03627914e+00,-5.44428939e-01,3.09245604e-01,1.21074777e+00
-0.150000,-0.080000,0.050000,2.01089827e-01,-9.82055951e-01,-5.16670598e-01,3.64931725e-01,1.16814278e+00
-0.150000,-0.080000,0.060000,1.97207642e-01,-9.22709910e-01,-4.86168113e-01,4.09690052e-01,1.12053512e+00
-0.150000,-0.080000,0.070000,1.92931483e-01,-8.60762311e-01,-4.54197397e-01,4.43828523e-01,1.06966854e+00
-0.150000,-0.080000,0.080000,1.88363733e-01,-7.98310712e-01,-4.21836387e-01,4.68178646e-01,1.01707285e+00
-0.150000,-0.080000,0.090000,1.83596765e-01,-7.36979329e-01,-3.89934451e-01,4.83876282e-01,9.64014348e-01
-0.150000,-0.080000,0.100000,1.78710842e-01,-6.77940693e-01,-3.59117323e-01,4.92183203e-01,9.11489517e-01
-0.150000,-0.070000,-0.100000,4.55424085e-02,-1.79149483e-01,-8.29114123e-02,-1.30427647e-01,2.36601375e-01
-0.150000,-0.070000,-0.090000,4.68395225e-02,-1.95405522e-01,-9.03000699e-02,-1.28696895e-01,2.50799345e-01
-0.150000,-0.070000,-0.080000,4.81097680e-02,-2.12398117e-01,-9.79889086e-02,-1.24992261e-01,2.65212842e-01
-0.150000,-0.070000,-0.070000,4.93315539e-02,-2.29812420e-01,-1.05829821e-01,-1.18944299e-01,2.79573685e-01
-0.150000,-0.070000,-0.060000,5.04796908e-02,-2.47198674e-01,-1.13617056e-01,-1.10209936e-01,2.93534069e-01
-0.150000,-0.070000,-0.050000,5.15258984e-02,-2.63961543e-01,-1.21084605e-01,-9.85240587e-02,3.06666216e-01
-0.150000,-0.070000,-0.040000,5.24399052e-02,-2.79370367e-01,-1.27912679e-01,-8.37653624e-02,3.18474632e-01
-0.150000,-0.070000,-0.030000,5.31912431e-02,-2.92601507e-01,-1.33747264e-01,-6.60271221e-02,3.28425872e-01
-0.150000,-0.070000,-0.020000,5.37516998e-02,-3.02819338e-01,-1.38234666e-01,-4.56744578e-02,3.35997813e-01
-0.150000,-0.070000,-0.010000,5.40981754e-02,-3.09290397e-01,-1.41068175e-01,-2.33633416e-02,3.40744222e-01
-0.150000,-0.070000,0.000000,2.16861770e-01,-1.24603165e+00,-5.68150619e-01,-8.13231636e+04,8.13231636e+04
